,title,addr,score
251,오뗄드니엔테,서울 송파구 백제고분로45길 4-21,3.4
252,안재식당,서울 송파구 삼전로9길 5-2 1층 103호,3.8
253,미성양꼬치,서울 송파구 올림픽로32길 19-6,3.2
254,츠쿠모,서울 송파구 올림픽로32길 58 1층,4.0
255,완도산회 문정점,서울 송파구 문정로 29,3.2
256,주문진해물한상,서울 송파구 오금로19길 9,3.7
257,라오빠빠,서울 송파구 송이로17길 57 1층,4.7
258,카페 페퍼,서울 송파구 백제고분로45길 12 2층,4.3
259,다케오호르몬데판야끼 송리단길점,서울 송파구 백제고분로45길 8 1층,2.1
260,경복궁 방이점,서울 송파구 올림픽로 348 2~4층 전관,2.8
261,쭈꾸미도사 잠실새내점,서울 송파구 백제고분로7길 30 1층,4.6
262,통큰갈비 잠실신천점,서울 송파구 백제고분로7길 28-11 영동빌딩,3.2
263,철판구이300도씨 신천본점,서울 송파구 백제고분로7길 28-17,4.0
264,송도갈비 문정역점,서울 송파구 법원로 128 SKV1 GL메트로시티 A동 201호,2.5
265,카페드로잉,서울 송파구 송파대로 111 파크하비오 202동 1층 166~170호,1.5
266,시루나무 문정본점,서울 송파구 새말로 134,4.1
267,만옥당,서울 송파구 백제고분로45길 9 2층,3.3
268,잉클링,서울 송파구 양재대로60길 3-5 보우빌딩 1층,4.0
269,라화쿵부 개롱점,서울 송파구 오금로46길 20,4.1
270,완도산회 문정점,서울 송파구 문정로 29,3.2
271,주문진해물한상,서울 송파구 오금로19길 9,3.7
272,라오빠빠,서울 송파구 송이로17길 57 1층,4.7
273,카페 페퍼,서울 송파구 백제고분로45길 12 2층,4.3
274,다케오호르몬데판야끼 송리단길점,서울 송파구 백제고분로45길 8 1층,2.1
275,경복궁 방이점,서울 송파구 올림픽로 348 2~4층 전관,2.8
276,쭈꾸미도사 잠실새내점,서울 송파구 백제고분로7길 30 1층,4.6
277,통큰갈비 잠실신천점,서울 송파구 백제고분로7길 28-11 영동빌딩,3.2
278,철판구이300도씨 신천본점,서울 송파구 백제고분로7길 28-17,4.0
279,송도갈비 문정역점,서울 송파구 법원로 128 SKV1 GL메트로시티 A동 201호,2.5
280,카페드로잉,서울 송파구 송파대로 111 파크하비오 202동 1층 166~170호,1.5
281,시루나무 문정본점,서울 송파구 새말로 134,4.1
282,만옥당,서울 송파구 백제고분로45길 9 2층,3.3
283,잉클링,서울 송파구 양재대로60길 3-5 보우빌딩 1층,4.0
284,라화쿵부 개롱점,서울 송파구 오금로46길 20,4.1
285,삼광호수,서울 송파구 송파대로49길 58,2.2
286,니엔테,서울 송파구 백제고분로45길 40 2층,2.9
287,평창갈비 방이점,서울 송파구 위례성대로 98,2.3
288,내꾸미쭈꾸미 본점,서울 송파구 성내천로 106,3.6
289,젠,서울 송파구 오금로18길 8 1층 102호,3.6
290,문어세상해천탕 잠실본점,서울 송파구 오금로 169,3.3
291,신천생태,서울 송파구 올림픽로8길 32,3.8
292,피스인더커피,서울 송파구 석촌호수로 258,4.3
293,이낙근찹쌀떡베이커리 오금동본점,서울 송파구 중대로 316,3.0
294,인기명 문정점,"서울 송파구 법원로11길 7 현대지식산업센터 C동 151, 152호",2.8
295,파티세리도효,서울 송파구 백제고분로45길 21-1 2층,4.1
296,꽃낙지,서울 송파구 백제고분로19길 7 1층,4.7
297,천상애장어가 가락본점,서울 송파구 중대로 148,4.0
298,김태완스시 송파본점,서울 송파구 오금로 148,3.0
299,동촌보리밥돈까스 거여본점,서울 송파구 거마로 22,3.0
300,어사출또 잠실신천점,서울 송파구 올림픽로10길 19,4.2
301,머머,서울 송파구 삼학사로18길 5,3.1
302,삿포로참치 직영본점,서울 송파구 올림픽로32길 32,3.6
303,밀도 잠실점,서울 송파구 올림픽로 118 1층 4호,3.7
304,박군자진주냉면 본점,서울 송파구 위례순환로 472,3.0
305,라움파스타,서울 송파구 송파대로39길 1-8,4.1
306,개군할머니 토종순대국,서울 송파구 양재대로71길 16,4.3
307,송계옥,서울 송파구 올림픽로32길 38 1층,4.5
308,치즈룸X테이스팅룸 롯데월드몰점,서울 송파구 올림픽로 300 5층,3.4
309,송파아구찜,서울 송파구 오금로44길 50-22,3.7
310,화사랑화로구이,서울 송파구 오금로 162,2.8
311,코이라멘 방이점,서울 송파구 올림픽로34길 16 1층,4.0
312,테이크어샤워,서울 송파구 송파대로47길 1,3.5
313,용장어,서울 송파구 송파대로32길 15 가락금호아파트상가 1층 111호,3.0
314,제일제면소 올림픽공원점,서울 송파구 올림픽로 424,2.6
315,흥도식당,서울 송파구 법원로 114 지하1층 B동 155-1호,4.2
316,셰프의부엌,서울 송파구 가락로 259 1층,4.3
317,아우어베이커리 롯데백화점 잠실점,서울 송파구 올림픽로 240 지하 1층,3.7
318,비엔나커피하우스 가락시장점,서울 송파구 송파대로28길 13 거북이빌딩 1층,3.6
319,버드나무집,서울 송파구 동남로 309,3.7
320,글로리식당,서울 송파구 백제고분로42길 4-13,3.7
321,리프레쉬커피,서울 송파구 송이로30길 11,4.2
322,지인고기,서울 송파구 송파대로 167 문정테라타워 A동 지하1층 G183호,4.4
323,스타벅스 잠실역점,"서울 송파구 송파대로 562 한빛프라자 1,2층",3.6
324,맥도날드 송파잠실DT점(임시휴업중),서울 송파구 도곡로 434,3.1
325,프라자손칼국수,서울 송파구 동남로18길 40,3.9
326,팔레트커리,서울 송파구 백제고분로45길 25 1층,3.9
327,경성광장,서울 송파구 오금로16길 10-6 1층,3.8
328,남한산성 마천점,서울 송파구 마천로39길 5,4.0
329,파리크라상 올림픽공원키친점,서울 송파구 올림픽로 424 편익C동 1층,2.6
330,유천냉면 풍납본점,서울 송파구 강동대로3길 22,3.0
331,사브레,서울 송파구 송파대로46길 28,3.6
332,명서식당,서울 송파구 백제고분로7길 42-29 102호,4.8
333,진원조닭한마리 잠실신천점,서울 송파구 백제고분로7길 32-11 1층,4.2
334,양타령,서울 송파구 위례성대로 192 송산빌딩 1층,4.9
335,카페그리너티,서울 송파구 풍성로23길 17 1층,4.8
336,스타벅스 송파방이DT점,서울 송파구 오금로 241,3.4
337,스파이스랩,서울 송파구 가락로 148 1층 106호,4.6
338,롼스,서울 송파구 백제고분로43길 8 1층,3.9
339,옛날농장 방이점,서울 송파구 올림픽로32길 19-10,3.2
340,한성양꼬치,서울 송파구 중대로 134 부평빌딩 1층,2.7
341,링링샤브샤브,서울 송파구 백제고분로41길 45 2층,4.4
342,연탄부락 잠실새내점,서울 송파구 백제고분로9길 22 1층,4.8
343,홍종흔베이커리&케익부띠끄,서울 송파구 양재대로71길 8 1층,3.1
344,원조동대문닭한마리칼국수,서울 송파구 올림픽로30길 6,3.9
345,정라멘,서울 송파구 삼전로12길 7 1층,4.3
346,만주,서울 송파구 올림픽로32길 21 2층,2.0
347,피피샐러드,서울 송파구 송파대로49길 50 B동 203호,3.4
348,어부회수산,서울 송파구 백제고분로40길 25 1층,4.7
349,석촌옛터,서울 송파구 백제고분로41길 42,3.4
350,엔제리너스 석촌호수DI점,서울 송파구 석촌호수로 224 1층,3.7
351,스시153,서울 송파구 위례광장로 170 위례송파 힐스테이트 A동 2층 210호,4.5
352,스시준 잠실점,서울 송파구 올림픽로35다길 32 지하1층,3.0
353,김과장고깃집 신천점,서울 송파구 백제고분로7길 16-13 1층,4.8
354,삼방매,서울 송파구 백제고분로45길 23 1층 105호,3.6
